,taxon_link,taxon_oid,added,accessed,retrieved,filename,download_link,download_date,error,warning,warning_msg,error_msg
23,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300000222,3300000222,2017-11-25 21:14:04.679564,1,1,3300000222.tar.gz,https://genome.jgi.doe.gov/LinP200P12500m_2/download/_JAMO/52904c1a067c013e2b0674f3/3300000222.tar.gz,,0,1,Warning: File 3300000222.tar.gz already exists in the download directory. ,
24,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300002396,3300002396,2017-11-25 21:14:04.679564,1,1,29629.assembled.faa,https://genome.jgi.doe.gov/LakMenEpi13Oct10_2/download/_JAMO/531a4e2949607a1be0056fad/29629.assembled.faa,2017-11-25 23:54:59.894220,0,0,,
25,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300014658,3300014658,2017-11-25 21:14:04.679564,2,1,121102.assembled.faa,https://genome.jgi.doe.gov/PEATcosm2014_Bin_52/download/_JAMO/58d4a34b7ded5e7a2afc1ac1/121102.assembled.faa,,0,2,Warning: File 121102.assembled.faa already exists in the download directory. Warning: No Data Available for Download. ,
26,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2162886001,2162886001,2017-11-25 21:14:04.679564,1,1,2162886001.tar.gz,https://genome.jgi.doe.gov/IMG_2162886001/download/_JAMO/52904b84067c013e2b067384/2162886001.tar.gz,2017-11-26 00:00:27.868914,0,0,,
27,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300005590,3300005590,2017-11-25 21:14:04.679564,1,1,66722.assembled.faa,https://genome.jgi.doe.gov/tdA2StandDraft/download/_JAMO/55d9bd710d8785342fcf89f5/66722.assembled.faa,2017-11-26 00:04:59.912440,0,0,,
28,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300005346,3300005346,2017-11-25 21:14:04.679564,2,2,14876.assembled.faa 34971.assembled.faa,https://genome.jgi.doe.gov/Etolagsediment/download/_JAMO/52907aeb067c013e2b06c1d0/14876.assembled.faa,,0,7,Warning: File 34971.assembled.faa already exists in the download directory. Warning: File 14876.assembled.faa already exists in the download directory. Warning: Multiple download files present. Warning: File 14876.assembled.faa already exists in the download directory. Warning: File 14876.assembled.faa already exists in the download directory. Warning: File 14876.assembled.faa already exists in the download directory. Warning: Multiple download files present. ,
29,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300002402,3300002402,2017-11-25 21:14:04.679564,1,1,29627.assembled.faa,https://genome.jgi.doe.gov/LakMenEpi13Sep09_2/download/_JAMO/531a4e0f49607a1be0056f79/29627.assembled.faa,,0,1,Warning: File 29627.assembled.faa already exists in the download directory. ,
30,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300003592,3300003592,2017-11-25 21:14:04.679564,1,1,51724.assembled.faa,https://genome.jgi.doe.gov/SaaInlLV_10m_DNA_6/download/_JAMO/5441717d0d87852530dcb727/51724.assembled.faa,,0,1,Warning: File 51724.assembled.faa already exists in the download directory. ,
31,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300010055,3300010055,2017-11-25 21:14:04.679564,1,1,92578.assembled.faa,https://genome.jgi.doe.gov/26_taG_2/download/_JAMO/5797ee5c7ded5e31abaa95c9/92578.assembled.faa,,0,1,Warning: File 92578.assembled.faa already exists in the download directory. ,
32,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300006910,3300006910,2017-11-25 21:14:04.679564,1,1,76858.assembled.faa,https://genome.jgi.doe.gov/AraplaMF_Col_mLB/download/_JAMO/567a4bd00d878518a8a3a0f5/76858.assembled.faa,,0,1,Warning: File 76858.assembled.faa already exists in the download directory. ,
33,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300003755,3300003755,2017-11-25 21:14:04.679564,1,1,55053.assembled.faa,https://genome.jgi.doe.gov/APFEC2959095171/download/_JAMO/549355030d8785565d46c6f5/55053.assembled.faa,,0,1,Warning: File 55053.assembled.faa already exists in the download directory. ,
34,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300001107,3300001107,2017-11-25 21:14:04.679564,2,1,13343.assembled.faa,https://genome.jgi.doe.gov/TexAe_OM1H0_O2_2/download/_JAMO/52906bfc067c013e2b06ade1/13343.assembled.faa,,1,1,Warning: File 13343.assembled.faa already exists in the download directory. ,"Error: Could Not Retrieve Data. Link: 'https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300001107'. 
"
35,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300010329,3300010329,2017-11-25 21:14:04.679564,1,1,94465.assembled.faa,https://genome.jgi.doe.gov/15_D_Rain_40_2_1_2/download/_JAMO/57caf10b7ded5e3135b9d26d/94465.assembled.faa,,0,1,Warning: File 94465.assembled.faa already exists in the download directory. ,
36,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300009141,3300009141,2017-11-25 21:14:04.679564,1,1,84497.assembled.faa,https://genome.jgi.doe.gov/Colrivmeta1550A3_2/download/_JAMO/5750c1557ded5e3df1ee189f/84497.assembled.faa,,0,1,Warning: File 84497.assembled.faa already exists in the download directory. ,
37,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300009657,3300009657,2017-11-25 21:14:04.679564,1,1,89751.assembled.faa,https://genome.jgi.doe.gov/AD_UKC071_MetaG_2/download/_JAMO/5766803b7ded5e34d828f3ed/89751.assembled.faa,,0,1,Warning: File 89751.assembled.faa already exists in the download directory. ,
38,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300005563,3300005563,2017-11-25 21:14:04.679564,1,1,66592.assembled.faa,https://genome.jgi.doe.gov/KBSCorStandDraft_6/download/_JAMO/55d4fb1a0d8785342fcf7545/66592.assembled.faa,,0,1,Warning: File 66592.assembled.faa already exists in the download directory. ,
39,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300005558,3300005558,2017-11-25 21:14:04.679564,1,1,66457.assembled.faa,https://genome.jgi.doe.gov/GraSoiStandDraft_10/download/_JAMO/55d3b0890d8785342fcf7347/66457.assembled.faa,,0,1,Warning: File 66457.assembled.faa already exists in the download directory. ,
40,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300006030,3300006030,2017-11-25 21:14:04.679564,1,1,71482.assembled.faa,https://genome.jgi.doe.gov/DEB19_MinimDraft_3/download/_JAMO/561e08070d878540fd70463b/71482.assembled.faa,,0,1,Warning: File 71482.assembled.faa already exists in the download directory. ,
41,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300009131,3300009131,2017-11-25 21:14:04.679564,1,1,83879.assembled.faa,https://genome.jgi.doe.gov/OpeIllAssembly/download/_JAMO/57501c4a7ded5e3df1ee1719/83879.assembled.faa,,0,1,Warning: File 83879.assembled.faa already exists in the download directory. ,
42,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300002529,3300002529,2017-11-25 21:14:04.679564,1,1,35504.assembled.faa,https://genome.jgi.doe.gov/RifCSPhighO2_02_2/download/_JAMO/53528fce0d87855a8277bba7/35504.assembled.faa,,0,1,Warning: File 35504.assembled.faa already exists in the download directory. ,
43,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300006642,3300006642,2017-11-25 21:14:04.679564,1,1,74785.assembled.faa,https://genome.jgi.doe.gov/NGEPerStandDraft_10/download/_JAMO/565315a80d878531d71e8747/74785.assembled.faa,,0,1,Warning: File 74785.assembled.faa already exists in the download directory. ,
44,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300009772,3300009772,2017-11-25 21:14:04.679564,1,1,89875.assembled.faa,https://genome.jgi.doe.gov/AD_UKC105_MetaG_2/download/_JAMO/576bf17b7ded5e34d82912e6/89875.assembled.faa,,0,1,Warning: File 89875.assembled.faa already exists in the download directory. ,
45,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300001644,3300001644,2017-11-25 21:14:04.679564,1,1,16325.assembled.faa,https://genome.jgi.doe.gov/MicForSoilPHH8_O_3/download/_JAMO/52908280067c013e2b06d225/16325.assembled.faa,,0,1,Warning: File 16325.assembled.faa already exists in the download directory. ,
46,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300020173,3300020173,2017-11-25 21:14:04.679564,1,1,148640.assembled.faa,https://genome.jgi.doe.gov/041ome_38/download/_JAMO/59a58adc7ded5e41edd8e5ba/148640.assembled.faa,,0,1,Warning: File 148640.assembled.faa already exists in the download directory. ,
47,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300004802,3300004802,2017-11-25 21:14:04.679564,1,1,60372.assembled.faa,https://genome.jgi.doe.gov/APCry1669189241/download/_JAMO/5540425c0d8785178e70d9b1/60372.assembled.faa,,0,1,Warning: File 60372.assembled.faa already exists in the download directory. ,
48,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300014866,3300014866,2017-11-25 21:14:04.679564,1,1,121787.assembled.faa,https://genome.jgi.doe.gov/EasRiv890_16_10D_2/download/_JAMO/58dde3077ded5e52c4af9dd3/121787.assembled.faa,,0,1,Warning: File 121787.assembled.faa already exists in the download directory. ,
49,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300012979,3300012979,2017-11-25 21:14:04.679564,1,1,109987.assembled.faa,https://genome.jgi.doe.gov/ElkDunMetagenome_5/download/_JAMO/58ba8b567ded5e7a2afa84ac/109987.assembled.faa,,0,1,Warning: File 109987.assembled.faa already exists in the download directory. ,
50,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300001384,3300001384,2017-11-25 21:14:04.679564,1,1,14840.assembled.faa,https://genome.jgi.doe.gov/NGESurshal072012_18/download/_JAMO/52907a25067c013e2b06c024/14840.assembled.faa,,0,1,Warning: File 14840.assembled.faa already exists in the download directory. ,
51,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300020153,3300020153,2017-11-25 21:14:04.679564,1,1,148614.assembled.faa,https://genome.jgi.doe.gov/GBS60_MetaG_2/download/_JAMO/59a54daf7ded5e41edd8e463/148614.assembled.faa,,0,1,Warning: File 148614.assembled.faa already exists in the download directory. ,
52,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300004114,3300004114,2017-11-25 21:14:04.679564,1,1,58698.assembled.faa,https://genome.jgi.doe.gov/ComassAARSBlock5/download/_JAMO/551c3d950d878525404e977b/58698.assembled.faa,,0,1,Warning: File 58698.assembled.faa already exists in the download directory. ,
53,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300005469,3300005469,2017-11-25 21:14:04.679564,1,1,65483.assembled.faa,https://genome.jgi.doe.gov/GluameStandDraft/download/_JAMO/55c405fe0d87855594c287a5/65483.assembled.faa,,0,1,Warning: File 65483.assembled.faa already exists in the download directory. ,
54,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300001158,3300001158,2017-11-25 21:14:04.679564,1,1,13278.assembled.faa,https://genome.jgi.doe.gov/TexAe_OM1H0_O1_2/download/_JAMO/52906a91067c013e2b06aadf/13278.assembled.faa,,0,1,Warning: File 13278.assembled.faa already exists in the download directory. ,
55,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300011422,3300011422,2017-11-25 21:14:04.679564,1,1,102318.assembled.faa,https://genome.jgi.doe.gov/EasRivERMZT640_2_2/download/_JAMO/5839801d7ded5e2d305c2505/102318.assembled.faa,,0,1,Warning: File 102318.assembled.faa already exists in the download directory. ,
56,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300011406,3300011406,2017-11-25 21:14:04.679564,1,1,102310.assembled.faa,https://genome.jgi.doe.gov/EasRivERMGT539_2_2/download/_JAMO/58397fe07ded5e2d305c24b5/102310.assembled.faa,,0,1,Warning: File 102310.assembled.faa already exists in the download directory. ,
57,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300015319,3300015319,2017-11-25 21:14:04.679564,1,1,123203.assembled.faa,https://genome.jgi.doe.gov/G5R1MG_101/download/_JAMO/58e9caa57ded5e52c4b04033/123203.assembled.faa,,0,1,Warning: File 123203.assembled.faa already exists in the download directory. ,
58,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300002708,3300002708,2017-11-25 21:14:04.679564,1,1,38584.assembled.faa,https://genome.jgi.doe.gov/NitcycUWRG07A512_2/download/_JAMO/53861ab60d878575e6433bfc/38584.assembled.faa,,0,1,Warning: File 38584.assembled.faa already exists in the download directory. ,
59,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300000449,3300000449,2017-11-25 21:14:04.679564,1,1,9776.assembled.faa,https://genome.jgi.doe.gov/MedBloCAOM2_M3/download/_JAMO/52904e70067c013e2b0679fb/9776.assembled.faa,,0,1,Warning: File 9776.assembled.faa already exists in the download directory. ,
60,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2124908008,2124908008,2017-11-25 21:14:04.679564,1,1,2124908008.tar.gz,https://genome.jgi.doe.gov/UncSo_2124908008/download/_JAMO/52904b51067c013e2b067315/2124908008.tar.gz,,0,1,Warning: File 2124908008.tar.gz already exists in the download directory. ,
61,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300015373,3300015373,2017-11-25 21:14:04.679564,1,1,119426.assembled.faa,https://genome.jgi.doe.gov/Comasshizosphere/download/_JAMO/58ee71e27ded5e6ece7e430e/119426.assembled.faa,,0,1,Warning: File 119426.assembled.faa already exists in the download directory. ,
62,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300002808,3300002808,2017-11-25 21:14:04.679564,1,1,39282.assembled.faa,https://genome.jgi.doe.gov/NitcycUWRG08A312_2/download/_JAMO/53963f790d878575e643647c/39282.assembled.faa,,0,1,Warning: File 39282.assembled.faa already exists in the download directory. ,
63,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300006020,3300006020,2017-11-25 21:14:04.679564,1,1,3300006020.tar.gz,https://genome.jgi.doe.gov/APAga8741244458/download/_JAMO/560da8150d878540fd6fdfaa/3300006020.tar.gz,,0,1,Warning: File 3300006020.tar.gz already exists in the download directory. ,
64,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300005896,3300005896,2017-11-25 21:14:04.679564,1,1,69767.assembled.faa,https://genome.jgi.doe.gov/SF_MetMinimDraft_23/download/_JAMO/55fe788a0d8785306f96935c/69767.assembled.faa,,0,1,Warning: File 69767.assembled.faa already exists in the download directory. ,
65,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300006165,3300006165,2017-11-25 21:14:04.679564,1,1,71583.assembled.faa,https://genome.jgi.doe.gov/CoawatStandDraft_4/download/_JAMO/5625679c0d878540fd70dd99/71583.assembled.faa,,0,1,Warning: File 71583.assembled.faa already exists in the download directory. ,
66,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300001009,3300001009,2017-11-25 21:14:04.679564,1,1,13124.assembled.faa,https://genome.jgi.doe.gov/ForSoiNitroNN352_2/download/_JAMO/52906211067c013e2b06a077/13124.assembled.faa,,0,1,Warning: File 13124.assembled.faa already exists in the download directory. ,
67,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300007562,3300007562,2017-11-25 21:14:04.679564,1,1,78199.assembled.faa,https://genome.jgi.doe.gov/Colrivmet1561A02_2/download/_JAMO/56b1cca30d878559e28728d6/78199.assembled.faa,,0,1,Warning: File 78199.assembled.faa already exists in the download directory. ,
68,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300012891,3300012891,2017-11-25 21:14:04.679564,1,1,108385.assembled.faa,https://genome.jgi.doe.gov/NitcycUS148409B2_2/download/_JAMO/585a63c07ded5e78cff8f95c/108385.assembled.faa,,0,1,Warning: File 108385.assembled.faa already exists in the download directory. ,
69,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300012676,3300012676,2017-11-25 21:14:04.679564,1,1,106652.assembled.faa,https://genome.jgi.doe.gov/EasRivERMLT433_2_2/download/_JAMO/58ba84e07ded5e7a2afa7f47/106652.assembled.faa,,0,1,Warning: File 106652.assembled.faa already exists in the download directory. ,
70,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300001151,3300001151,2017-11-25 21:14:04.679564,1,1,13577.assembled.faa,https://genome.jgi.doe.gov/JacPin_JW_Ref_O3_2/download/_JAMO/5290715d067c013e2b06b0d7/13577.assembled.faa,,0,1,Warning: File 13577.assembled.faa already exists in the download directory. ,
71,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300008212,3300008212,2017-11-25 21:14:04.679564,1,1,83872.assembled.faa,https://genome.jgi.doe.gov/APWor7970452403/download/_JAMO/57001e307ded5e7f7b942e1f/83872.assembled.faa,,0,1,Warning: File 83872.assembled.faa already exists in the download directory. ,
72,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300001081,3300001081,2017-11-25 21:14:04.679564,1,1,13196.assembled.faa,https://genome.jgi.doe.gov/JacPinW_OM3H0_M3_2/download/_JAMO/5290644f067c013e2b06a53b/13196.assembled.faa,,0,1,Warning: File 13196.assembled.faa already exists in the download directory. ,
73,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300010267,3300010267,2017-11-25 21:14:04.679564,1,1,94446.assembled.faa,https://genome.jgi.doe.gov/12_3_2metaG_2/download/_JAMO/57c1385c7ded5e0c8713afc1/94446.assembled.faa,,0,1,Warning: File 94446.assembled.faa already exists in the download directory. ,
74,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300006796,3300006796,2017-11-25 21:14:04.679564,1,1,75175.assembled.faa,https://genome.jgi.doe.gov/GraSoiStandDraft_32/download/_JAMO/566ba72a0d878518a8a32021/75175.assembled.faa,,0,1,Warning: File 75175.assembled.faa already exists in the download directory. ,
75,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300012271,3300012271,2017-11-25 21:14:04.679564,1,1,104927.assembled.faa,https://genome.jgi.doe.gov/AntRauTorckE5432_2/download/_JAMO/583ee4e17ded5e2d305c3f5e/104927.assembled.faa,,0,1,Warning: File 104927.assembled.faa already exists in the download directory. ,
76,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300001705,3300001705,2017-11-25 21:14:04.679564,1,1,19900.assembled.faa,https://genome.jgi.doe.gov/NitcycUWRG10A411_2/download/_JAMO/5290850c067c013e2b06d79b/19900.assembled.faa,,0,1,Warning: File 19900.assembled.faa already exists in the download directory. ,
77,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300006950,3300006950,2017-11-25 21:14:04.679564,1,1,76826.assembled.faa,https://genome.jgi.doe.gov/NGEPerStandDraft_12/download/_JAMO/568755f00d878518a8a3d607/76826.assembled.faa,,0,1,Warning: File 76826.assembled.faa already exists in the download directory. ,
78,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300020220,3300020220,2017-11-25 21:14:04.679564,1,1,148620.assembled.faa,https://genome.jgi.doe.gov/TA2MahC100mmetaG_2/download/_JAMO/59a70e237ded5e41edd8eb2c/148620.assembled.faa,,0,1,Warning: File 148620.assembled.faa already exists in the download directory. ,
79,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300014886,3300014886,2017-11-25 21:14:04.679564,1,1,121798.assembled.faa,https://genome.jgi.doe.gov/GuaBasSediGuay15_2/download/_JAMO/58de341d7ded5e52c4afa209/121798.assembled.faa,,0,1,Warning: File 121798.assembled.faa already exists in the download directory. ,
