taxon_oid	Domain	Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Genome Size   * assembled	Gene Count   * assembled
2626542039	Bacteria	Permanent Draft	Soil microbial communities from Rifle, Colorado, USA	Parcubacteria (Kaiserbacteria) bacterium GW2011_GWA1_50_28	DOE Joint Genome Institute (JGI)	2626542039	421273	511
2509276026	Bacteria	Permanent Draft	Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA)	Joostella marina DSM 19592	DOE Joint Genome Institute (JGI)	2509276026	4508243	4004
2626542427	Bacteria	Permanent Draft	Soil microbial communities from Rifle, Colorado, USA	Microgenomates (Pacebacteria) bacterium GW2011_GWA1_46_10	DOE Joint Genome Institute (JGI)	2626542427	919891	994
2706794902	Bacteria	Permanent Draft	Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones	SAR406 cluster bacterium JGI ETNP_300m_187_C04 (contamination screened)	DOE Joint Genome Institute (JGI)	2706794902	336475	296
2713897519	Bacteria	Draft	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	Aerophobetes (BHI80-139) bacterium SCGC AG-278-F10	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2713897519	1093927	1080
2708743043	Bacteria	Permanent Draft	Soil microbial communities from Rifle, Colorado, USA	Candidatus Andersenbacteria bacterium RIFCSPHIGHO2_01_FULL_46_36	DOE Joint Genome Institute (JGI)	2708743043	778473	856
2515154027	Bacteria	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project	Olivibacter sitiensis DSM 17696	DOE Joint Genome Institute (JGI)	2515154027	5055457	4566
2651870337	Bacteria	Finished	Flavobacterium succinicans DD5b	Flavobacterium succinicans DD5b (FLB)	Goettingen Genomics Laboratory	2651870337	3788815	3273
2582580745	Bacteria	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project	Flavisolibacter ginsengisoli DSM 18119	DOE Joint Genome Institute (JGI)	2582580745	4677460	4231
2509601028	Bacteria	Permanent Draft	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Holophaga foetida TMBS4, DSM 6591	DOE Joint Genome Institute (JGI)	2509601028	4127237	3672
2700988704	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Cruoricaptor ignavus DSM 25479	DOE Joint Genome Institute (JGI)	2700988704	2229574	2229
2731639222	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Acetobacteroides hydrogenigenes DSM 24657	DOE Joint Genome Institute (JGI)	2731639222	3861100	3291
2651870123	Bacteria	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains	Arachidicoccus rhizosphaerae Vu-144	DOE Joint Genome Institute (JGI)	2651870123	4868714	3921
2698536689	Bacteria	Permanent Draft	Ectosymbiont Candidatus Symbiothrix dinenymphae of Dinenympha sp.	Candidatus Symbiothrix dinenymphae D9-6h	Microbe Division (RIKEN BRC JCM), RIKEN BioResource Center	2698536689	1262285	1348
2529293184	Bacteria	Permanent Draft	Cesiribacter andamanensis AMV16	Cesiribacter andamanensis AMV16	Centre for Cellular and Molecular Biology (CCMB)	2529293184	4759956	4266
2708742570	Bacteria	Permanent Draft	Soil microbial communities from Rifle, Colorado, USA	Candidatus Wildermuthbacteria bacterium GWA1_49_26	DOE Joint Genome Institute (JGI)	2708742570	670286	751
2756170310	Bacteria	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification	Balneicella halophila DSM 28579	DOE Joint Genome Institute (JGI)	2756170310	2089523	1889
2751185669	Bacteria	Finished	Libanus massiliensis genome	Libanicoccus massiliensis Marseille-P3237	Research Unit on Emerging Infectious and Tropical Diseases ( URMITE )	2751185669	2009306	1811
2506520046	Bacteria	Permanent Draft	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Aquiflexum balticum BA160, DSM 16537	DOE Joint Genome Institute (JGI)	2506520046	5987095	5121
2687453111	Bacteria	Finished	Luteitalea pratensis DSM 100886 genome sequencing	Luteitalea pratensis DSM 100886	Microorganisms, Leibniz Institute DSMZ - German Collection of Microorganisms and Cell Cultures	2687453111	7480314	6315
2767802133	Bacteria	Finished	Kitasatospora albolonga YIM 101047 Genome sequencing	Kitasatospora albolonga YIM 101047	Yunnan University	2767802133	8027788	7007
2721755118	Bacteria	Draft	Soil microbial communities from Rifle, Colorado, USA	Candidatus Glassbacteria bacterium GWA2_58_10	DOE Joint Genome Institute (JGI)	2721755118	2667161	2860
2509601038	Bacteria	Permanent Draft	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Saccharicrinis fermentans DSM 9555	DOE Joint Genome Institute (JGI)	2509601038	5982061	4809
2708743073	Bacteria	Permanent Draft	Soil microbial communities from Rifle, Colorado, USA	Candidatus Niyogibacteria bacterium RIFCSPHIGHO2_01_FULL_45_28	DOE Joint Genome Institute (JGI)	2708743073	686201	808
2617270831	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Chryseolinea serpens DSM 24574	DOE Joint Genome Institute (JGI)	2617270831	8357597	6897
2524614768	Bacteria	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project	Yaniella halotolerans DSM 15476	DOE Joint Genome Institute (JGI)	2524614768	2775456	2633
2627853667	Bacteria	Finished	Propionibacterium freudenreichii subsp. freudenreichii strain:DSM 20271 Genome sequencing	Propionibacterium freudenreichii freudenreichii DSM 20271	University of Helsinki	2627853667	2649166	2368
644736322	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Acidimicrobium ferrooxidans ICP, DSM 10331	DOE Joint Genome Institute (JGI)	644736322	2158157	2092
649633057	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Intrasporangium calvum 7KIP, DSM 43043	DOE Joint Genome Institute (JGI)	649633057	4024382	3710
2617271304	Bacteria	Permanent Draft	Genome sequencing of Criblamydia sequanensis CRIB-18	Criblamydia sequanensis CRIB-18	University of Lausanne	2617271304	2969604	2472
2596583683	Bacteria	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project	Stackebrandtia albiflava DSM 45044	DOE Joint Genome Institute (JGI)	2596583683	5549958	5354
2627853860	Bacteria	Permanent Draft	Genome sequencing of Geofilum rubicundum JCM 15548	Geofilum rubicundum JCM 15548	University of Tokyo	2627853860	4921400	4692
2630968620	Bacteria	Finished	Muricauda lutaonensis strain:CC-HSB-11 Genome sequencing	Muricauda lutaonensis CC-HSB-11	Korea Research Institute of Bioscience and Biotechnology	2630968620	3274259	3092
2513237181	Bacteria	Finished	Caldisericum exile AZM16c01	Caldisericum exile AZM16c01, NBRC 104410	National Institute of Technology and Evaluation	2513237181	1558103	1632
2681812892	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Microbispora rosea ATCC 12950	DOE Joint Genome Institute (JGI)	2681812892	8866369	8301
2264867056	Bacteria	Permanent Draft	GEBA-MDM	BRC1 bacterium SCGC AAA252-M09 (contamination screened) (SAK_001_73)	DOE Joint Genome Institute (JGI)	2264867056	1174248	983
2627853639	Bacteria	Permanent Draft	Dokdonia donghaensis DSW-1 Genome sequencing	Dokdonia donghaensis DSW-1	University of La Laguna	2627853639	3219590	2923
2731639260	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Mongoliibacter ruber DSM 27929	DOE Joint Genome Institute (JGI)	2731639260	4999712	4301
2708742708	Bacteria	Draft	Soil microbial communities from Rifle, Colorado, USA	Candidatus Abawacabacteria bacterium RBG_16_42_10	DOE Joint Genome Institute (JGI)	2708742708	1095595	1111
2645727520	Bacteria	Permanent Draft	Croceitalea dokdonensis DOKDO 023 Genome sequencing	Croceitalea dokdonensis DOKDO 023	Yonsei University	2645727520	3883802	3484
643692030	Bacteria	Finished	Persephonella marina EX-H1	Persephonella marina EX-H1	J. Craig Venter Institute (JCVI)	643692030	1983966	2095
2728369219	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Ulvibacter antarcticus DSM 23424	DOE Joint Genome Institute (JGI)	2728369219	3845875	3450
2721755294	Bacteria	Draft	Soil microbial communities from Rifle, Colorado, USA	Candidatus Portnoybacteria bacterium RBG_13_40_8	DOE Joint Genome Institute (JGI)	2721755294	690498	815
2708742856	Bacteria	Permanent Draft	Soil microbial communities from Rifle, Colorado, USA	Candidatus Ryanbacteria bacterium RIFCSPHIGHO2_01_45_13	DOE Joint Genome Institute (JGI)	2708742856	968492	1042
2708743063	Bacteria	Permanent Draft	Soil microbial communities from Rifle, Colorado, USA	Candidatus Taylorbacteria bacterium RIFCSPHIGHO2_01_FULL_43_120	DOE Joint Genome Institute (JGI)	2708743063	790353	828
2667528167	Bacteria	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains	Meridianimaribacter flavus CGMCC 1.10957	DOE Joint Genome Institute (JGI)	2667528167	3223525	2935
2597489917	Bacteria	Finished	Dokdonia sp. PRO95	Dokdonia sp. PRO95	Helmholtz Centre for Infection Research	2597489917	3305093	3038
2597490378	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Thermoleophilum album ATCC 35263	DOE Joint Genome Institute (JGI)	2597490378	2207191	2144
2757320715	Bacteria	Finished	Genome sequencing of Phoenicibacter massiliensis Marseille-P3241	Phoenicibacter massiliensis Marseille-P3241	Research Unit on Emerging Infectious and Tropical Diseases ( URMITE )	2757320715	1447956	1283
2708742655	Bacteria	Permanent Draft	Soil microbial communities from Rifle, Colorado, USA	Candidatus Edwardsbacteria bacterium GWE2_54_12	DOE Joint Genome Institute (JGI)	2708742655	2762053	2465
2681812969	Bacteria	Permanent Draft	Piscicoccus intestinalis NBRC 104926	Piscicoccus intestinalis NBRC 104926	National Institute of Technology and Evaluation	2681812969	4685130	4404
637000115	Bacteria	Finished	Frankia alni ACN14a	Frankia alni ACN14a	CEA Genoscope	637000115	7497934	6795
2636415561	Bacteria	Finished	Cyclobacterium amurskyense strain:KCTC 12363 genome sequencing	Cyclobacterium amurskyense KCTC 12363	Korea Research Institute of Bioscience and Biotechnology	2636415561	6158829	4997
2731957593	Bacteria	Permanent Draft	Millisia brevis NBRC 105863	Millisia brevis NBRC 105863	National Institute of Technology and Evaluation	2731957593	5642782	5014
2687453517	Bacteria	Finished	Rufibacter sp. DG15C Genome sequencing	Rufibacter sp. DG15C	Seoul Women's University	2687453517	4143738	3603
646311950	Bacteria	Finished	Robiginitalea biformata HTCC2501	Robiginitalea biformata HTCC2501	J. Craig Venter Institute (JCVI)	646311950	3530383	3255
643692018	Bacteria	Finished	Corynebacterium aurimucosum CN-1, ATCC 700975	Corynebacterium aurimucosum CN-1, ATCC 700975	Bielefeld University	643692018	2819226	2617
2731957505	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Actinokineospora auranticolor DSM 44650	DOE Joint Genome Institute (JGI)	2731957505	8431890	7476
2758568022	Bacteria	Finished	Genome sequencing of Parabacteroides sp. CT06	Parabacteroides sp. CT06	Kyunghee University	2758568022	5372666	4633
2639762975	Bacteria	Permanent Draft	Sunxiuqinia dokdonensis SK	Sunxiuqinia dokdonensis SK	Korea Research Institute of Bioscience and Biotechnology	2639762975	4962831	4382
643348509	Bacteria	Finished	CSP_777385	Pseudarthrobacter chlorophenolicus A6	DOE Joint Genome Institute (JGI)	643348509	4980870	4744
2600254900	Bacteria	Permanent Draft	Vampirovibrio chlorellavorus	Vampirovibrio chlorellavorus	University of Queensland	2600254900	3030230	2844
2684622995	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Bryocella elongata DSM 22489	DOE Joint Genome Institute (JGI)	2684622995	5669524	4620
2681813554	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Filimonas lacunae DSM 21054	DOE Joint Genome Institute (JGI)	2681813554	7763674	6270
2728369274	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Ichthyenterobacterium magnum DSM 26283	DOE Joint Genome Institute (JGI)	2728369274	3009115	2814
2636415982	Bacteria	Permanent Draft	Sequencing the genomes of 1000 actinobacteria strains	Auraticoccus monumenti DSM 23257	DOE Joint Genome Institute (JGI)	2636415982	4461688	4155
2721755458	Bacteria	Finished	Complete genome sequence of Frondihabitans sp. SR6	Frondihabitans sp. SR6	Korea Polar Research Institute (KOPRI)	2721755458	4766863	4744
2524614800	Bacteria	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project	Jonesia quinghaiensis DSM 15701	DOE Joint Genome Institute (JGI)	2524614800	3043715	2825
2728369266	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Allonocardiopsis opalescens DSM 45601	DOE Joint Genome Institute (JGI)	2728369266	6972847	6377
2700988711	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Sphingobacterium composti DSM 18850	DOE Joint Genome Institute (JGI)	2700988711	4391315	3822
646564588	Bacteria	Finished	Waddlia chondrophila WSU 86-1044	Waddlia chondrophila WSU 86-1044	University of Lausanne	646564588	2131905	1999
2596583572	Bacteria	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains	Sinomicrobium oceani CGMCC 1.12145	DOE Joint Genome Institute (JGI)	2596583572	5026272	4281
639633060	Bacteria	Finished	Solibacter usitatus Ellin6076	Candidatus Solibacter usitatus Ellin6076	DOE Joint Genome Institute (JGI)	639633060	9965640	8003
646311931	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Geodermatophilus obscurus G-20, DSM 43160	DOE Joint Genome Institute (JGI)	646311931	5322497	5155
2690315877	Bacteria	Permanent Draft	Helcobacillus massiliensis FF11 genome sequencing	Helcobacillus massiliensis FF11	Research Unit on Emerging Infectious and Tropical Diseases ( URMITE )	2690315877	2229252	2065
2751185745	Bacteria	Finished	Lacinutrix venerupis DOK2-8 Genome sequencing	Lacinutrix venerupis DOK2-8	Korea Research Institute of Bioscience and Biotechnology	2751185745	3192399	2890
2627853666	Bacteria	Permanent Draft	Flavihumibacter petaseus NBRC 106054	Flavihumibacter petaseus NBRC 106054	National Institute of Technology and Evaluation	2627853666	5693518	4931
2561511240	Bacteria	Finished	Salinibacter ruber M8	Salinibacter ruber M8	CEA Genoscope	2561511240	3832918	3302
649633080	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Paludibacter propionicigenes WB4, DSM 17365	DOE Joint Genome Institute (JGI)	649633080	3685504	3118
2718217654	Bacteria	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains	Moheibacter sediminis CGMCC 1.12708	DOE Joint Genome Institute (JGI)	2718217654	3229237	3035
2588253755	Bacteria	Finished	Dermacoccus nishinomiyaensis strain:M25 Genome sequencing	Dermacoccus nishinomiyaensis M25	University of Malaya	2588253755	3113642	2339
2503707007	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Fluviicola taffensis RW262, DSM 16823	DOE Joint Genome Institute (JGI)	2503707007	4633577	4131
2509276063	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Aequorivita sublithincola QSSC9-3, DSM 14238	DOE Joint Genome Institute (JGI)	2509276063	3520671	3242
2684622891	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Pricia antarctica DSM 23421	DOE Joint Genome Institute (JGI)	2684622891	4851997	4227
2751185490	Bacteria	Permanent Draft	Microbial Interactions in Extremophilic Mat Communities	Microcella sp. HL-107	DOE Joint Genome Institute (JGI)	2751185490	2259425	2230
644736356	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Dyadobacter fermentans NS114, DSM 18053	DOE Joint Genome Institute (JGI)	644736356	6967790	5854
2627853676	Bacteria	Permanent Draft	Sanguibacteroides justesenii strain:OUH 308042 Genome sequencing	Sanguibacteroides justesenii OUH 308042	Technical University of Denmark, Odense University Hospital, National Food Institute, Technical University of Denmark, 2800 Kgs. Lyngby, Denmark.	2627853676	3385516	2909
2593339300	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Gelidibacter algens DSM 12408	DOE Joint Genome Institute (JGI)	2593339300	4459459	3903
2690315652	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Asanoa ishikariensis DSM 44718	DOE Joint Genome Institute (JGI)	2690315652	9085759	8537
2721755355	Bacteria	Draft	Soil microbial communities from Rifle, Colorado, USA	Candidatus Nealsonbacteria bacterium RBG_13_36_15	DOE Joint Genome Institute (JGI)	2721755355	376759	431
2675903157	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Actinobaculum suis DSM 20639	DOE Joint Genome Institute (JGI)	2675903157	2200507	1778
2728369737	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Phorcysia thermohydrogeniphila DSM 24425	DOE Joint Genome Institute (JGI)	2728369737	1621410	1714
2264867129	Bacteria	Permanent Draft	GEBA-MDM	Calescamantes bacterium JGI 0000106-I17 (unscreened) (GBS-C_001_990)	DOE Joint Genome Institute (JGI)	2264867129	1181604	1137
2515154155	Bacteria	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project	Actinopolymorpha alba DSM 45243	DOE Joint Genome Institute (JGI)	2515154155	7985436	7546
2728369474	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Haloactinopolyspora alba DSM 45211	DOE Joint Genome Institute (JGI)	2728369474	5535374	5225
2684623062	Bacteria	Finished	Arthrobacter alpinus ERGS4:06 - genome sequencing and assembly	Arthrobacter alpinus ERGS4:06	CSIR-Institute of Himalayan Bioresource Technology	2684623062	4333648	4056
2516653049	Bacteria	Permanent Draft	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Sporichthya polymorpha DSM 43042	DOE Joint Genome Institute (JGI)	2516653049	5500153	5279
637000205	Bacteria	Finished	Chlorobia, 8 species	Pelodictyon luteolum DSM 273	DOE Joint Genome Institute (JGI)	637000205	2364842	2146
2593339290	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Hydrotalea sandarakina DSM 23241	DOE Joint Genome Institute (JGI)	2593339290	3268305	2868
2596583521	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Fontibacter flavus DSM 22241	DOE Joint Genome Institute (JGI)	2596583521	4492346	4004
2593339297	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Olleya aquimaris DSM 24464	DOE Joint Genome Institute (JGI)	2593339297	2958257	2714
2599185120	Bacteria	Finished	Candidatus Sulcia muelleri strain:BGSS Genome sequencing	Candidatus Sulcia muelleri BGSS	University of Texas, Austin	2599185120	244618	258
2724679709	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Saccharicrinis carchari DSM 27040	DOE Joint Genome Institute (JGI)	2724679709	4644534	3683
2731957610	Bacteria	Permanent Draft	Zimmermannella alba NBRC 15616	Zimmermannella alba NBRC 15616		2731957610	2138915	1972
2721755151	Bacteria	Draft	Soil microbial communities from Rifle, Colorado, USA	Candidatus Zambryskibacteria bacterium GWB1_40_5	DOE Joint Genome Institute (JGI)	2721755151	581767	696
2751185728	Bacteria	Finished	Cryobacterium arcticum PAMC 27867 Genome sequencing	Cryobacterium arcticum PAMC 27867	Korea Polar Research Institute (KOPRI)	2751185728	4351229	4077
2264867211	Bacteria	Permanent Draft	GEBA-MDM	Atribacteria bacterium JGI 0000014-F07 (contamination screened) (Etoliko_001_227)	DOE Joint Genome Institute (JGI)	2264867211	321674	322
2751185682	Bacteria	Permanent Draft	Genome mining of actinomycete strains to discover natural products	Pilimelia anulata NRRL B-3741	University of Illinois, Urbana-Champaign	2751185682	6959181	6486
2718217741	Bacteria	Finished	Whole genome sequence of Gardnerella vaginalis isolate from blood cultures of a woman with with severe acute encephalopathy	Gardnerella vaginalis GV37	Institute of Biotechnology, Vilnius University	2718217741	1746718	1465
646564557	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Nocardiopsis dassonvillei dassonvillei DSM 43111	DOE Joint Genome Institute (JGI)	646564557	6543312	5647
2626542418	Bacteria	Permanent Draft	Soil microbial communities from Rifle, Colorado, USA	Microgenomates (Roizmanbacteria) bacterium GW2011_GWA1_41_13	DOE Joint Genome Institute (JGI)	2626542418	1023535	1182
2675903138	Bacteria	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains	Xiangella phaseoli CGMCC 4.7038	DOE Joint Genome Institute (JGI)	2675903138	6507138	5980
2518645556	Bacteria	Finished	Nocardiopsis alba ATCC BAA-2165	Nocardiopsis alba ATCC BAA-2165	Ohio University	2518645556	5848211	5577
2600255133	Bacteria	Permanent Draft	Pan-genome of Tropheryma whipplei	Tropheryma whipplei Art1	European Bioinformatics Institute	2600255133	878421	929
2626542042	Bacteria	Draft	Soil microbial communities from Rifle, Colorado, USA	Parcubacteria (Falkowbacteria) bacterium GW2011_GWA2_39_24	DOE Joint Genome Institute (JGI)	2626542042	528742	620
2751185835	Bacteria	Finished	Actinomyces pacaensis genome	Actinomyces sp. Marseille-P2985	Research Unit on Emerging Infectious and Tropical Diseases ( URMITE )	2751185835	1892549	1696
644736323	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Actinosynnema mirum 101, DSM 43827	DOE Joint Genome Institute (JGI)	644736323	8248144	7176
2585427649	Bacteria	Finished	Amycolatopsis japonica strain:MG417-CF17 (=DSM 44213) Genome sequencing	Amycolatopsis japonica MG417-CF17, DSM 44213	Bielefeld University	2585427649	9053857	8489
2681813034	Bacteria	Permanent Draft	Genome sequencing of Catenuloplanes sp.  - The University of Tokyo	Catenuloplanes atrovinosus JCM 9535	University of Tokyo	2681813034	922859	1630
642555114	Bacteria	Finished	The genomes of the symbionts Cand. Amoebophilus asiaticus, and Cand. Cardinium hertigii -- Illuminating evolution of symbiosis and host manipulation in the phylum Bacteroidetes , CSP_776895	Candidatus Amoebophilus asiaticus 5a2	DOE Joint Genome Institute (JGI)	642555114	1884364	1487
